Race	Male names	Female names	Surnames	Other
Dwarf	Adrik,Alberich,Baern,Barendd,Brottor,Bruenor,Dain,Darrak,Delg,Eberk,Einkil,Fargrim,Flint,Gardain,Harbek,Kildrak,Morgran,Orsik,Oskar,Rangrim,Rurik,Taklinn,Thoradin,Thorin,Tordek,Traubon,Travok,Ulfgar,Veit,Vondal	Amber,Artin,Audhild,Bardryn,Dagnal,Diesa,Eldeth,Falkrunn,Finellen,Gunnloda,Gurdis,Helja,Hlin,Kathra,Kristryd,Ilde,Liftrasa,Mardred,Riswynn,Sannl,Torbera,Torgga,Vistra	Balderk,Battlehammer,Brawnanvil,Dankil,Fireforge,Frostbeard,Gorunn,Holderhek,Ironfist,Loderr,Lutgehr,Rumnaheim,Strakeln,Torunn,Ungart	None
Elf	Adran,Aelar,Aramil,Arannis,Aust,Beiro,Berrian,Carric,Enialis,Erdan,Erevan,Galinndan,Hadarai,Heian,Himo,Immeral,Ivellios,Laucian,Mindartis,Paelias,Peren,Quarion,Riardon,Rolen,Soveliss,Thamior,Tharivol,Theren,Varis	Adrie,Althaea,Anastrianna,Andraste,Antinua,Bethrynna,Birel,Caelynn,Drusilia,Enna,Felosial,Ielenia,Jelenneth,Keyleth,Leshanna,Lia,Meriele,Mialee,Naivara,Quelenna,Quillathe,Sariel,Shanairra,Shava,Silaqui,Theirastra,Thia,Vadania,Valanthe,Xanaphia	Amakiir,Amastacia,Galanodel,Holimion,Ilphelkiir,Liadon,Meliamne,Naïlo,Siannodel,Xiloscient	None
Halfling	Alton,Ander,Cade,Corrin,Eldon,Errich,Finnan,Garret,Lindal,Lyle,Merric,Milo,Osborn,Perrin,Reed,Roscoe,Wellby	Andry,Bree,Callie,Cora,Euphemia,Jillian,Kithri,Lavinia,Lidda,Merla,Nedda,Paela,Portia,Seraphina,Shaena,Trym,Vani,Verna	Brushgather,Goodbarrel,Greenbottle,High-hill,Hilltopple,Leagallow,Tealeaf,Thorngage,Tosscobble,Underbough	None
Human	Aseir,Bardeid,Haseid,Khemed,Mehmen,Sudeiman,Zasheir,Darvin,Dorn,Evendur,Gorstag,Grim,Helm,Malark,Morn,Randal,Stedd,Bor,Fodel,Glar,Grigor,Igan,Ivor,Kosef,Mival,Orel,Pavel,Sergor,Aoth,Bareris,Ehput-Ki,Kethoth,Mumed,Ramas,So-Kehur,Thazar-De,Urhur,An,Chen,Chi,Fai,Jiang,Jun,Lian,Long,Meng,On,Shan,Shui,Wen,Anton,Diero,Marcon,Pieron,Rimardo,Romero,Salazar,Umbero	Atala,Ceidil,Hama,Jasmal,Meilil,Seipora,Yasheira,Zasheida,Arveene,Esvele,Jhessail,Kerri,Lureene,Miri,Rowan,Shandri,Tessele,Alethra,Kara,Katernin,Mara,Natali,Olma,Tana,Zora,Amafrey,Betha,Cefrey,Kethra,Mara,Olga,Silifrey,Westra,Arizima,Chathi,Nephis,Nulara,Murithi,Sefris,Thola,Umara,Zolis,Fyevarra,Hulmarra,Immith,Imzel,Navarra,Shevarra,Tammith,Yuldra,Bai,Chao,Jia,Lei,Mei,Qiao,Shui,Tai,Balama,Dona,Faila,Jalana,Luisa,Marta,Quara,Selise,Vonda	Basha,Dumein,Jassan,Khalid,Mostana,Pashar,Rein,Amblecrown,Buckman,Dundragon,Evenwood,Greycastle,Tallstag,Bersk,Chernin,Dotsk,Kulenov,Marsk,Nemetsk,Shemov,Starag,Brightwood,Helder,Hornraven,Lackman,Stormwind,Winddriver,Ankhalab,Anskuld,Fezim,Hahpet,Nathandem,Sepret,Uuthrakt,Chergoba,Dyernina,Iltazyara,Murnyethara,Stayanoga,Ulmokina,Chien,Huang,Kao,Kung,Lao,Ling,Mei,Pin,Shin,Sum,Tan,Wan,Agosto,Astorio,Calabra,Domine,Falone,Marivaldi,Pisacar,Ramondo	None
Dragonborn	Arjhan,Balasar,Bharash,Donaar,Ghesh,Heskan,Kriv,Medrash,Mehen,Nadarr,Pandjed,Patrin,Rhogar,Shamash,Shedinn,Tarhun,Torinn	Akra,Biri,Daar,Farideh,Harann,Havilar,Jheri,Kava,Korinn,Mishann,Nala,Perra,Raiann,Sora,Surina,Thava,Uadjit	Clethtinthiallor,Daardendrian,Delmirev,Drachedandion,Fenkenkabradon,Kepeshkmolik,Kerrhylon,Kimbatuul,Linxakasendalor,Myastan,Nemmonis,Norixius,Ophinshtalajiir,Prexijandilin,Shestendeliath,Turnuroth,Verthisathurgiesh,Yarjerit	None
Gnome	Alston,Alvyn,Boddynock,Brocc,Burgell,Dimble,Eldon,Erky,Fonkin,Frug,Gerbo,Gimble,Glim,Jebeddo,Kellen,Namfoodle,Orryn,Roondar,Seebo,Sindri,Warryn,Wrenn,Zook	Bimpnottin,Breena,Caramip,Carlin,Donella,Duvamil,Ella,Ellyjobell,Ellywick,Lilli,Loopmottin,Lorilla,Mardnab,Nissa,Nyx,Oda,Orla,Roywyn,Shamil,Tana,Waywocket,Zanna	Beren,Daergel,Folkor,Garrick,Nackle,Murnig,Ningel,Raulnor,Scheppen,Timbers,Turen	Aleslosh,Ashhearth,Badger,Cloak,Doublelock,Filchbatter,Fnipper,Ku,Nim,Oneshoe,Pock,Sparklegem,Stumbleduck
Half-elf	Adran,Aelar,Aramil,Arannis,Aust,Beiro,Berrian,Carric,Enialis,Erdan,Erevan,Galinndan,Hadarai,Heian,Himo,Immeral,Ivellios,Laucian,Mindartis,Paelias,Peren,Quarion,Riardon,Rolen,Soveliss,Thamior,Tharivol,Theren,Varis,Aseir,Bardeid,Haseid,Khemed,Mehmen,Sudeiman,Zasheir,Darvin,Dorn,Evendur,Gorstag,Grim,Helm,Malark,Morn,Randal,Stedd,Bor,Fodel,Glar,Grigor,Igan,Ivor,Kosef,Mival,Orel,Pavel,Sergor,Aoth,Bareris,Ehput-Ki,Kethoth,Mumed,Ramas,So-Kehur,Thazar-De,Urhur,An,Chen,Chi,Fai,Jiang,Jun,Lian,Long,Meng,On,Shan,Shui,Wen,Anton,Diero,Marcon,Pieron,Rimardo,Romero,Salazar,Umbero	Adrie,Althaea,Anastrianna,Andraste,Antinua,Bethrynna,Birel,Caelynn,Drusilia,Enna,Felosial,Ielenia,Jelenneth,Keyleth,Leshanna,Lia,Meriele,Mialee,Naivara,Quelenna,Quillathe,Sariel,Shanairra,Shava,Silaqui,Theirastra,Thia,Vadania,Valanthe,Xanaphia,Atala,Ceidil,Hama,Jasmal,Meilil,Seipora,Yasheira,Zasheida,Arveene,Esvele,Jhessail,Kerri,Lureene,Miri,Rowan,Shandri,Tessele,Alethra,Kara,Katernin,Mara,Natali,Olma,Tana,Zora,Amafrey,Betha,Cefrey,Kethra,Mara,Olga,Silifrey,Westra,Arizima,Chathi,Nephis,Nulara,Murithi,Sefris,Thola,Umara,Zolis,Fyevarra,Hulmarra,Immith,Imzel,Navarra,Shevarra,Tammith,Yuldra,Bai,Chao,Jia,Lei,Mei,Qiao,Shui,Tai,Balama,Dona,Faila,Jalana,Luisa,Marta,Quara,Selise,Vonda	Amakiir,Amastacia,Galanodel,Holimion,Ilphelkiir,Liadon,Meliamne,Naïlo,Siannodel,Xiloscient,Basha,Dumein,Jassan,Khalid,Mostana,Pashar,Rein,Amblecrown,Buckman,Dundragon,Evenwood,Greycastle,Tallstag,Bersk,Chernin,Dotsk,Kulenov,Marsk,Nemetsk,Shemov,Starag,Brightwood,Helder,Hornraven,Lackman,Stormwind,Winddriver,Ankhalab,Anskuld,Fezim,Hahpet,Nathandem,Sepret,Uuthrakt,Chergoba,Dyernina,Iltazyara,Murnyethara,Stayanoga,Ulmokina,Chien,Huang,Kao,Kung,Lao,Ling,Mei,Pin,Shin,Sum,Tan,Wan,Agosto,Astorio,Calabra,Domine,Falone,Marivaldi,Pisacar,Ramondo	None
Half-orc	Dench,Feng,Gell,Henk,Holg,Imsh,Keth,Krusk,Mhurren,Ront,Shump,Thokk	Baggi,Emen,Engong,Kansif,Myev,Neega,Ovak,Ownka,Shautha,Sutha,Vola,Volen,Yevelda	Basha,Dumein,Jassan,Khalid,Mostana,Pashar,Rein,Amblecrown,Buckman,Dundragon,Evenwood,Greycastle,Tallstag,Bersk,Chernin,Dotsk,Kulenov,Marsk,Nemetsk,Shemov,Starag,Brightwood,Helder,Hornraven,Lackman,Stormwind,Winddriver,Ankhalab,Anskuld,Fezim,Hahpet,Nathandem,Sepret,Uuthrakt,Chergoba,Dyernina,Iltazyara,Murnyethara,Stayanoga,Ulmokina,Chien,Huang,Kao,Kung,Lao,Ling,Mei,Pin,Shin,Sum,Tan,Wan,Agosto,Astorio,Calabra,Domine,Falone,Marivaldi,Pisacar,Ramondo	None
Tiefling	Akmenos,Amnon,Barakas,Damakos,Ekemon,Iados,Kairon,Leucis,Melech,Mordai,Morthos,Pelaios,Skamos,Therai	Akta,Anakis,Bryseis,Criella,Damaia,Ea,Kallista,Lerissa,Makaria,Nemeia,Orianna,Phelaia,Rieta	Basha,Dumein,Jassan,Khalid,Mostana,Pashar,Rein,Amblecrown,Buckman,Dundragon,Evenwood,Greycastle,Tallstag,Bersk,Chernin,Dotsk,Kulenov,Marsk,Nemetsk,Shemov,Starag,Brightwood,Helder,Hornraven,Lackman,Stormwind,Winddriver,Ankhalab,Anskuld,Fezim,Hahpet,Nathandem,Sepret,Uuthrakt,Chergoba,Dyernina,Iltazyara,Murnyethara,Stayanoga,Ulmokina,Chien,Huang,Kao,Kung,Lao,Ling,Mei,Pin,Shin,Sum,Tan,Wan,Agosto,Astorio,Calabra,Domine,Falone,Marivaldi,Pisacar,Ramondo	Art,Carrion,Chant,Creed,Despair,Excellence,Fear,Glory,Hope,Ideal,Music,Nowhere,Open,Poetry,Quest,Random,Reverence,Sorrow,Temerity,Torment,Weary
Bugbear	Gatrok,Nirrurr,Ghir,Betik,Vardon,Hrorr,Khirror,Natik,Stoth,Duk	Gatrok,Nirrurr,Ghir,Betik,Vardon,Hrorr,Khirror,Natik,Stoth,Duk	None	None
