Race				Str	Dex	Con	Int	Wis	Cha	AgeMod	Align	Size	Height	Weight	Speed	Lang.			Armor prof.			Weapon prof.										Tool prof.										Skill prof.		Feats
Hill Dwarf			0	0	2	0	1	0	4	LG	Medium	44+2d4	115+2d6	25	Common,Dwarvish	None	Battleaxe,Handaxe,Throwing Hammer,Warhammer	1:Smith's tools,Brewer's supplies,Mason's tools	None			Darkvision,Dwarven Resilience,Stonecunning,Dwarven Toughness
Mountain Dwarf			2	0	2	0	0	0	4	LG	Medium	48+2d4	130+2d6	25	Common,Dwarvish	Light,Medium	Battleaxe,Handaxe,Throwing Hammer,Warhammer	1:Smith's tools,Brewer's supplies,Mason's tools	None			Darkvision,Dwarven Resilience,Stonecunning
High Elf				0	2	0	1	0	0	7	CG	Medium	54+2d10	90+1d4	30	Common,Elvish,Any1	None			Longsword,Shortsword,Shortbow,Longbow	None	Perception	Darkvision,Fey Ancestry,Trance,Cantrip
Wood Elf				0	2	0	0	1	0	7	CG	Medium	54+2d10	100+1d4	35	Common,Elvish	None			Longsword,Shortsword,Shortbow,Longbow	None	Perception	Darkvision,Fey Ancestry,Trance,Mask of the Wild
Drow Elf				0	2	0	0	0	1	7	CG	Medium	53+2d6	75+1d6	30	Common,Elvish	None	Rapier,Shortsword,Hand Crossbow	None	Perception		Superior Darkvision,Sunlight Sensitivity,Fey Ancestry,Trance,Drow Magic
Lightfoot Halfling		0	2	0	0	0	1	2	LG	Small	31+2d4	35+1d1	25	Common,Halfling	None	None	None	None	Lucky,Brave,Halfling Nimbleness,Naturally Stealthy
Stout Halfling			0	2	1	0	0	0	2	LG	Small	31+2d4	35+1d1	25	Common,Halfling	None	None	None	None	Lucky,Brave,Halfling Nimbleness,Stout Resilience
Human				1	1	1	1	1	1	1	NN	Medium	56+2d10	110+2d4	30	Common,Any1	None	None	None	None	None
Variant Human			0	0	0	0	0	0	1	NN	Medium	56+2d10	110+2d4	30	Common,Any1	None	None	None	Any1	Human Ability Score,Human Feat
Black Dragonborn			2	0	0	0	0	1	0.8	NG	Medium	66+2d8	175+2d6	30	Common,Draconic	None	None	None	None	Breath Weapon (Acid 5 by 30 ft. line (Dex save),Acid Resistance
Blue Dragonborn			2	0	0	0	0	1	0.8	NG	Medium	66+2d8	175+2d6	30	Common,Draconic	None	None	None	None	Breath Weapon (Lightning 5 by 30 ft. line (Dex save),Lightning Resistance
Brass Dragonborn			2	0	0	0	0	1	0.8	NG	Medium	66+2d8	175+2d6	30	Common,Draconic	None	None	None	None	Breath Weapon (Fire 5 by 30 ft. line (Dex save),Fire Resistance
Bronze Dragonborn			2	0	0	0	0	1	0.8	NG	Medium	66+2d8	175+2d6	30	Common,Draconic	None	None	None	None	Breath Weapon (Lightning 5 by 30 ft. line (Dex save),Lightning Resistance
Copper Dragonborn			2	0	0	0	0	1	0.8	NG	Medium	66+2d8	175+2d6	30	Common,Draconic	None	None	None	None	Breath Weapon (Acid 5 by 30 ft. line (Dex save),Acid Resistance
Gold Dragonborn			2	0	0	0	0	1	0.8	NG	Medium	66+2d8	175+2d6	30	Common,Draconic	None	None	None	None	Breath Weapon (Fire 15 ft. cone (Dex save),Fire Resistance
