core	Dwarf	Hill,Mountain	
core	Elf	High,Wood,Drow
core	Halfling	Lightfoot,Stout
core	Human	_,Variant
core	Dragonborn	Black,Blue,Brass,Bronze,Copper,Gold,Green,Red,Silver,White
core	Gnome	Forest,Rock
core	Half-elf	_
core	Half-orc	_
core	Tiefling	Asmodeus
eepc	Aarakocra	_
eepc	Gnome	Deep
eepc	Genasi	Air,Earth,Fire,Water
eepc	Goliath	_
volo	Aasimar	Protector,Scourge,Fallen
volo	Firbolg	_
volo	Goliath	_
volo	Kenku	_
volo	Lizardfolk	_
volo	Tabaxi	_
volo	Triton	_
volom	Bugbear	_
volom	Goblin	_
volom	Hobgoblin	_
volom	Kobold	_
volom	Orc	_
volom	Yuan-ti	_
scag	Dwarf	Hill,Mountain,Deep
scag	Elf		High,Wood,Drow
scag	Halfling	Lightfoot,Stout,Ghostwise
scag	Human	_,Variant
scag	Dragonborn	Black,Blue,Brass,Bronze,Copper,Gold,Green,Red,Silver,White
scag	Gnome	Forest,Rock,Deep
scag	Half-elf	_,High,Wood,Drow,Sea
scag	Half-orc	_
scag	Tiefling	Asmodeus,Variant
mtf	Tiefling	Asmodeus,Baalzebul,Dispater,Fierna,Glasya,Levistus,Mammon,Mephistopheles,Zariel
mtf	Elf	Eladrin,Sea,Shadar-kai
mtf	Dwarf	Deep
mtf	Gith	yanki,zerai
mtf	Gnome	Deep
ggr	Human	_,Variant
ggr	Elf	High,Wood,Drow
ggr	Centaur	_
ggr	Goblin	_
ggr	Loxodon	_
ggr	Minotaur	_
ggr	Hybrid	_
ggr	Vedalken	_
erlw	Changeling	_
erlw	Dragonborn	Black,Blue,Brass,Bronze,Copper,Gold,Green,Red,Silver,White
erlw	Dwarf	Hill,Mountain
erlw	Elf	High,Wood,Drow
erlw	Gnome	Forest,Rock
erlw	Bugbear	_
erlw	Goblin	_
erlw	Hobgoblin	_
erlw	Half-elf	_
erlw	Halfling	Lightfoot,Stout
erlw	Human	_,Variant
erlw	Kalashtar	_
erlw	Half-orc	_
erlw	Orc	_
erlw	Shifter	Beasthide,Longtooth,Swiftstride,Wildhunt
erlw	Tiefling	Asmodeus
erlw	Warforged	_
egw	Dwarf	Hill,Mountain
egw	Elf	High,Wood,Drow,Pallid,Sea
egw	Halfling	Lightfoot,Stout,Lotusden
egw	Human	_,Variant
egw	Aarakocra	_
egw	Aasimar	Protector,Scourge,Fallen
egw	Dragonborn	Black,Blue,Brass,Bronze,Copper,Gold,Green,Red,Silver,White,Black Draconblood,Blue Draconblood,Brass Draconblood,Bronze Draconblood,Copper Draconblood,Gold Draconblood,Green Draconblood,Red Draconblood,Silver Draconblood,White Draconblood,Black Ravenite,Blue Ravenite,Brass Ravenite,Bronze Ravenite,Copper Ravenite,Gold Ravenite,Green Ravenite,Red Ravenite,Silver Ravenite,White Ravenite
egw	Firbolg	_
egw	Genasi	Air,Earth,Fire,Water
egw	Gnome	Forest,Rock
egw	Bugbear	_
egw	Goblin	_
egw	Hobgoblin	_
egw	Goliath	_
egw	Half-elf	_
egw	Kenku	_
egw	Half-orc	_
egw	Orc	_
egw	Tabaxi	_
egw	Tiefling	Asmodeus
egw	Tortle	_
egw	Hollow One	_
